Domaine,Millésime,Appellation,Désignation,Cru,Type,Région,Cépage principal,Début apogée,Fin apogée,Note,Prix achat,Lieu Achat,Date Achat,Nombre,CA Connu,Date dégustation,Ma Note,Commentaire
Casa Ferreirinha,2017,Douro,Planalto,,Blanc,Vallée de Douro,"Viosinho, Malvasia Fina, Gouveio, Códega, Arinto, Rabigato, Moscatel",2018,2020,,"4,95",Epicerie,10/05/2019,0,,"18/05/2019
09/11/2019","3,5
3,5","Chez Mickie/Alex. Bon vin blanc sec. Meilleur très frais.
Anniv Rafie avec ses copains. Très frais, donc passe bien. Super rapport qualité prix"
Château Lagrézette,2018,Côtes du Lot,Merveille Rocamadour,,Rouge,Sud Ouest,,2019,2020,5/5,"17,1",Vinatis,29/12/2023,1,"17,1",14/01/2024,4,Avec Nico et Vangélis sur saucisse de toulouse et frites au four. On a beaucoup aimé
Château Cajus,2011,Bordeaux Supérieur,Cuvée des Anges,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2013,2021,3/5,14,Salon du Bio,11/11/2019,0,,"28/06/2022
13/04/2023","4
4","Correct. Cécile n'aime pas. Je le trouve assez léger et il ne reste pas trop en bouche mais le goût est bon. Meilleur le lendemain encore
Même avis que la dernière fois"
Château du Galoupet,2015,Côtes de Provence,Cuvée Equipage,Cru classé,Rouge,Provence,"Syrah, Grenache Noir, Cabernet Sauvignon",2017,2021,3/5,"12,5",Auchan FAV,02/10/2019,1,"12,5",09/11/2021,"4,5","J'avais adoré le 2014. J'aime tout autant le 2015. Fruité mais soutenu, un peu boisé. A racheter si on en trouve"
Angelliaume,2015,Chinon,Le Désir de Gérard,,Blanc,Val de Loire et Centre,Chenin blanc,2018,2021,4/5,"15,5",Producteur,01/06/2019,0,,30/06/2022,4,"Bu pour l'anniversaire de Cécile. Jess a beaucoup aimé. Math réticent a aimé aussi. Moi aussi. Rond, épais, goût de beurre"
Bottega,2016,Pinot Grigio,delle Venezie,,Blanc,Toscane,Pinot Gris,2018,2021,5/5,,,14/02/2018,0,,16/03/2019,"3,5",Apéro Cécile et moi. Cécile en a bu des meilleurs. J'ai bien aimé
Domaine de Laplace,2017,Côtes de Duras,Petit Capri,,Rosé,Sud Ouest,"Cabernet Sauvignon, Cabernet Franc, Merlot",2018,2021,,"5,5",Marché,24/05/2020,0,,02/06/2020,2,"Apéro zoom pour l'anniversaire du père de Cécile. Pas d'intérêt, pas très fruité et plutôt amer. Ne pas racheter"
l'Amiral,2016,Minervois,Cuvée Tradition,,Rouge,Languedoc Roussillon,"Syrah, Grenache, Carignan vieilles vignes",2018,2021,4/5,12,Marché,"16/11/2019
24/05/2020",0,,"13/06/2020
15/04/2022","3,5
3,5","En normandie avec Mika et Marine. Pas mal, mais un peu trop sur l'alcool par rapport à mon souvenir au marché. Tester une prochaine fois
Chez Math et Jess. Un peu fort en alcool mais très correct"
Omenaldi,2015,Irouléguy,,,Rouge,Sud Ouest,"Cabernet Franc, Cabernet Sauvignon, Tannat",2018,2021,4/5,,Espelette,01/09/2018,0,0,28/03/2025,,En attente de dégustation ce soir
l'Amiral,2018,Pays d'Oc,Le voyage de l'Amiral,,Rouge,Languedoc Roussillon,Marselan,2019,2021,3/5,14,Marché,24/05/2020,0,0,08/04/2025,"3,5",Tout seul. Très correct. On peu en reprendre
Domaine Casanova,2019,Ile de Beauté,Les vignerons d'Aghione,,Rosé,Corse,,2020,2021,3/5,"5,6",Vinatis,29/05/2021,0,,"01/06/2021
09/07/2021
15/07/2021
14/04/2023","3,5
3,5
3,5
3,5","Bon, mais doit être servi très frais. Sur les agrumes type pamplemousse. Assez déroutant mais très rafraichissant.
Même constat
Même constat
Même constat"
Pierre Trichet,2012,Champagne,L'exception,,Blanc effervescent,Champagne,,2014,2022,4/5,,Producteur,23/02/2019,0,,"08/02/2020
12/02/2023","4,5
4,5","Avec mes parents. Excellent champagne. Le meilleur que j'ai bu de mes différentes bouteilles.
Avec mes parents. Pour l'anniversaire de Roman. On a encore beaucoup aimé"
Château Gigognan,2012,Châteauneuf du Pape,Clos du Roi,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Mourvèdre",2015,2022,4/5,"19,99",Monoprix FAV,25/09/2021,0,,09/09/2023,"4,5","Soirée oenologie avec Mika, Claire, Nico Vangélis et Cécile. Très très bon chateauneuf du pape que j'avais carafé avant"
Michel Picard,2012,Saint Aubin,Le Charmois,1er cru,Blanc,Bourgogne,Chardonnay,2015,2022,4/5,19,Vente-Privée,25/01/2019,0,,"15/02/2019
04/08/2019
01/05/2020","4
4
4","Soirée Oenologie Mika Isa Cécile. Bon. Peut encore vieillir un peu
Chez Véro&Jay. Mika et moi avons encore bien aimé. Cécile moins, trop sucré à son goût
Apéro Zoom avec Cécile. Je reste sur ma note. Cécile n'aime toujours pas trop."
Château de Davenay,2014,Rully,Les Rabourcés,1er cru,Blanc,Bourgogne,Chardonnay,2016,2022,5/5,"16,3",Vente-Privée,31/07/2019,0,,"09/08/2019
12/10/2019
10/12/2021","3
3,5
3","Soirée chez Mika avec Cécile. Ressemble au Saint Aubin du même domaine mais ce qui reste en bouche est un petit goût amer
Crémaillère Manu. Pas bu le soir même mais du coup, bu le lendemain et n'a plus le goût amer. Peut être qu'une fois carafé il est bon. Goùt de beurre et de fumée"
André Goichot,2014,Côte de Nuits - Villages,,,Rouge,Bourgogne,Pinot Noir,2017,2022,4/5,13,Vente-Privée,27/01/2018,1,13,"12/04/2019
27/01/2023","3,5
3,5","Soirée Claire Cécile. Claire a bien aimé. Je n'ai pas été super convaincu
Avec Isa, sur un poulet frite. Bonne association car sans manger, il est un peu trop acide à mon goût"
Chamilly,2014,Mercurey,Les Vignes d'Orge,,Rouge,Bourgogne,Pinot Noir,2017,2022,4/5,,Producteur,19/04/2018,0,,19/01/2019,"2,5",Avec MIka. Trop boisé. Pas top
Chamilly,2016,Givry,En Choué,,Blanc,Bourgogne,Chardonnay,2018,2022,4/5,,Producteur,19/04/2018,0,,21/04/2019,3,"Chez Jess et Matthieu. Correct, sans plus"
Château Haut-Gayat,2017,Graves de Vayres,Cuvée Prestige,,Rouge,Bordeaux,"Merlot, Cabernet Franc, Cabernet Sauvignon",2018,2022,3/5,,Cadeau,26/12/2019,0,,23/11/2020,"3,5","Tout seul. Pas mal, même si peu de corps. Peut-être en racheter pour le faire vieillir 5/10 ans de plus car pas cher."
Château Val Joanis,2015,Luberon,Les Griottes,,Rouge,Vallée du Rhône,"Syrah, Grenache Noir",2018,2022,5/5,,Nicolas,31/12/2017,0,,08/01/2020,3,Avec Cécile pour goûter. Correct mais sans plus. Attaque un peu trop. Meilleur que l'autre vin de Vincent
Domaine la Soumade,2017,Rasteau,Cuvée Prestige,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Cinsault",2018,2022,4/5,"13,9",Valap,16/01/2020,0,,"07/02/2020
27/11/2020
19/11/2021","3
3,5
3,5","Avec Mika. Je n'ai pas vraiment aimé. Pas mon style, trop alcoolisé. Voir si meilleur en le faisant vieillir car très bien noté. MIka n'a pas aimé. Cécile si
Tout seul. J'ai préféré à la fois précédente
Correct sans plus"
Angelliaume,2018,Chinon,,,Rosé,Val de Loire et Centre,Cabernet Franc,2019,2022,,5,Producteur,01/06/2019,0,,"09/09/2019
13/11/2019","3
3","Avec Cécile. Correct mais rien d'extraordinaire
Pareil"
Château de Beaucastel,2017,Côtes du Rhône,Coudoulet de Beaucastel,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Cinsault",2019,2022,4/5,,Nicolas,12/10/2019,0,,07/10/2022,"3,5",Avec Chouch/Mag et Nico. Correct mais manque de corps selon moi
Domaine Ameztia,2017,Irouléguy,,,Blanc,Sud Ouest,"Courbu Blanc, Gros Manseng, Petit Manseng",2019,2022,3/5,,Espelette,01/09/2018,0,0,28/03/2025,,En attente de dégustation ce soir
Domaine Carcenac,2017,Gaillac,Jadis,,Rouge,Sud Ouest,"Fer Servadou, Duras, Syrah",2019,2022,3/5,"10,8",Caviste,05/05/2021,0,,"27/06/2021
04/06/2023","3,5
4","Offert a Désiré. J'en racheterai car je l'aime bien. Je pense qu'il gagnerait à vieillir 2/3 ans encore
Très bon. Avec Michel et Cécile. Avevc un poulet rôti"
Domaine de la Désoucherie,2017,Cheverny,,,Blanc,Val de Loire et Centre,"Sauvignon Blanc, Chardonnay",2019,2022,4/5,"8,5",Nicolas,09/02/2019,0,,"09/02/2019
23/02/2019","2,5
2,5","Avec Mel. Sans plus. Ce n'est pas mon style de vin. Pas assez sec à mon goût
Soirée révélation. Toujours pas top"
Domaine de la Désoucherie,2017,Cour - Cheverny,,,Blanc,Val de Loire et Centre,Romorantin,2019,2022,4/5,"9,5",Nicolas,09/02/2019,0,,16/02/2019,3,Chez Jessie et Mathieu. Meilleur que le Cheverny mais pas convaincu
Domaine de Laplace,2017,Côtes de Duras,Petit Jules,,Rouge,Sud Ouest,"Cabernet Sauvignon, Cabernet Franc, Merlot",2019,2022,3/5,8,Marché,24/05/2020,0,,20/11/2020,3,"Correct mais surtout le lendemain, et avec un plat en sauce (poulet crème champignon)"
Domaine Roche,2017,Cairanne,,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Mourvèdre",2019,2022,4/5,"9,9",Valap,19/05/2020,0,0,"29/05/2020
18/01/2021
15/05/2022
08/07/2022
10/02/2024","4
3,5


3
3,5","Chez Véro & Jay. Marquer la note quand on l'aura bue
Tout seul pour retester. Notes de réglisses. Arômes sucrés. Très agréable, il faut aimer le style.
Pour libérer quelques places dans la cave. Bon cairanne mais il faut vraiment aimer le style
Apporté chez Mel et Jey. Pas bu
Pas fan. Je le bois pour vider ma cave
Correct"
Huber-Verdereau,2017,Bourgogne,Pré aux Dames,,Blanc,Bourgogne,Chardonnay,2019,2022,4/5,,,12/10/2019,0,,24/10/2019,3,"Avec Cécile et Claire. Plutôt bon. Sec mais pas minéral, plutôt fruité, sucré. Ne plait pas particulièrement à Cécile"
Jean Bouchard,2017,Chablis Premier cru,,,Blanc,Bourgogne,Chardonnay,2019,2022,4/5,"16,65",Veepee,20/04/2021,0,,"22/10/2021
31/12/2021
24/06/2023","4,5
3,5
4","Super Chablis 1er cru.
Nouvel an avec Chouch Mag Nico et Cécile. Plutôt insignifiant. Je pense qu'il était mal associé avec un risotto aux champignons
Chez Vangélis avec Nico, Cécile et les enfants. On a tous bien aimé"
Les Combes Cachées,2017,Minervois - La Livinière,Cuvée Les 3 écus,,Rouge,Languedoc Roussillon,"Carignan, Cinsault, Mourvèdre",2019,2022,5/5,18,Site Vignerons,20/02/2023,4,72,"01/04/2023
20/07/2023","4
4","Avec Kev et Sarah
Pour l'anniv de Véro avec un barbecue. Bien passé"
Mas Combaréla,2017,Carignan,Les Vieux Mazets,,Rouge,Languedoc Roussillon,Carignan,2019,2022,,20,Salon,23/03/2025,1,20,,,
Michel Girard & Fils,2017,Sancerre,,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2019,2022,4/5,12,Salon,02/12/2018,0,,"13/02/2020
14/03/2020","4
4","Bu avec Cécile. Très bon Sancerre. A racheter au salon s'ils sont présents
Bu avec Nico Marc et Yannick. Tout le monde a aimé"
Stéphane Aviron,2017,Saint Amour,Vieilles Vignes,,Rouge,Beaujolais,Gamay,2019,2022,4/5,"9,9",Valap,26/04/2020,0,,"07/05/2020
14/05/2020
22/05/2020
21/06/2021
09/11/2021
26/03/2022","4
4
4,5
4,5
4,5
4,5","Parfait. Vin assez léger comme un Gamay mais le goût est très agréable et fruité. Cécile aime beaucoup aussi
Très appréciable
Avec Marine et Mika à Pontault-Combault. A fait l'unanimité
Avec Jess et Mathieu chez nous. A encore bien plu
Avec Maxence et Anaïs. Toujours aussi bon et fruité
Avec les parents de Cécile. Il a beaucoup plu"
Surrau,2018,Vermentino di Gallura,Sciala Superiore,,Blanc,Sardaigne,Vermentino,2019,2022,,17,Supermarché,01/09/2019,0,,25/01/2020,"3,5","Soirée raclette avec Claire des bois. Le goût très fruité est super, mais le vin semble pétiller. Peut-être trop jeune, et moins bon que le montagny bu juste avant."
1001 Pierres,2020,Corrèze,Ferrand,,Rouge,Sud Ouest,,2021,2022,5/5,"13,5",Producteur,16/02/2025,1,"13,5",,,
Michel Picard,2013,Saint Aubin,Le Charmois,1er cru,Blanc,Bourgogne,Chardonnay,2016,2023,3/5,"19,9",Vente-Privée,31/07/2019,0,0,"06/10/2021
03/12/2022
27/03/2025","4
4
4","Bon Saint-Aubin. Chardonnay rond
Avec Claire des Bois. Pendant l'apéro. On l'a tous les 3 trouvé très bon
Avec Mika et Marine, toujours au top"
Domaine Rois Mages - Anne-Sophie Debavealere,2015,Rully,Les Cailloux,,Blanc,Bourgogne,Chardonnay,2017,2023,4/5,15,Salon,24/03/2019,0,,"15/09/2019
06/04/2020","4
4","Après-midi console avec Mika. Bien meilleur que le rully acheté sur veepee. Entre 4 et 4,5
Pour apéro anniversaire Jessie, en confinement. Vraiment bien. A racheter"
Jean Perrier,2016,Vin de Savoie - Mondeuse,Cuvée Gastronomie,Vieilles Vignes,Rouge,Savoie et Bugey,Mondeuse,2018,2023,3/5,"9,95",Super U,12/01/2018,0,,"22/12/2019
25/01/2020","3,5
3,5","Avec la belle famille. Très bien. Mais ne reste pas vraiment en bouche. Par contre super rapport qualité/prix
Soirée raclette avec Claire des bois. Vin très particulier, goût de feu de bois. Je le trouve bon. Claire l'a apprécié aussi."
Laurent Martray,2017,Brouilly,Le coeur des feuillées VALAP,Vieilles vignes,Rouge,Beaujolais,Gamay,2018,2023,4/5,"9,9",Valap,04/04/2020,0,,"13/04/2020
25/04/2020
04/05/2020
21/05/2020
12/09/2020
25/07/2021","4
4
4
3,5
4
4","Bon Brouilly. Légèrement acide mais Gamay agréable
Toujours très bien, cette fois ci j'ai l'impression que je l'ai préféré au côté de brouilly car j'ai moins senti l'acidité et l'équilibre est très bon
Egal à lui même
Avec Marine et Mika à Pontault-Combault. Je l'ai trouvé un peu plus amer et surtout aucun commentaire des autres donc peu apprécié
Avec Claire Desbois. Elle a beaucoup aimé. J'ai retrouvé le goût que j'appréciais les premières fois
Bien, comme les premières fois"
Château Bidonnet Laffitte,2018,Bordeaux,Cuvée Linda,,Blanc moelleux,Bordeaux,,2019,2023,3/5,,Cadeau,26/12/2019,0,,02/12/2023,,Pas de note car ramené à l'anniversaire de Jay mais pas ouvert
Château de la Greffière,2018,Mâcon,Mâcon La Roche Vineuse,,Blanc,Bourgogne,Chardonnay,2019,2023,4/5,"9,9",Vinatis,29/05/2021,0,,"16/07/2021
09/11/2021
","3,5
3,5
","Avec Cécile. Vin très rond, pas du tout sur l'acidité. Presque un champagne sans bulle pour ma part, légèrement sucré. Cécile a aimé, mois moins
Avec Maxence et Anaïs. Cécile a encore aimé. Moi toujours pas. Ne pas racheter. Trop sur le beurre
"
Domaine Valéry Renaudat,2017,Reuilly,Le Sentier,,Rouge,Val de Loire et Centre,Pinot Noir,2019,2023,4/5,15,Marché,21/11/2020,0,,06/04/2023,"3,5","Bon petit pinot noir, assez léger"
Dupré Goujon,2017,Côte de Brouilly,,,Rouge,Beaujolais,Gamay,2019,2023,4/5,"14,9",Valap,04/04/2020,0,0,"14/04/2020
27/04/2020
14/12/2021
30/04/2022
26/12/2022
03/05/2024","4,5
4

3
3,5
4,5","Super côté de Brouilly. Je pense qu'il peut vieillir en cave mais nous avons beaucoup aimé
Toujours très bien mais j'ai trouvé une point d'amertume en fin de bouche cette fois-ci. Je baisse donc sa note.

Apéro avec Cécile. Costaud. Pas forcément adapté à du saucisson
Avec Nico. Je crois que nous avons bien aimé
Tout seul. Il est vraiment bon. Fruité mais costaux, Je croyais qu'il n'était pas top mais boire le 2017 en 2024 est la bonne année"
François Weck,2018,Gewürztraminer,,Cuvée prestige,Blanc moelleux,Alsace,Gewurztraminer,2019,2023,4/5,"9,5",Marché,15/02/2020,1,"9,5",,,
François Weck,2018,Gewürztraminer,,Cuvée Annala,Blanc moelleux,Alsace,Gewurztraminer,2019,2023,4/5,17,Marché,15/02/2020,1,17,,,
Vigneron de Buxy,2017,Montagny,Tête de Cuvée,1er cru,Blanc,Bourgogne,Chardonnay,2019,2023,4/5,,,12/10/2019,0,,25/01/2020,4,Soirée raclette avec Claire des bois. Vraiment super. Complexe et devrait pouvoir se garder. A voir si je peux en retrouver d'autre car excellente surprise.
Antoine Sunier,2018,Régnié,,,Rouge,Beaujolais,Gamay,2020,2023,5/5,"14,9",Valap,19/05/2020,0,,"28/05/2020
12/12/2020
20/01/2021
03/02/2021
17/11/2021","4
0
2
3,5
3","J'ai bien aimé. On sent vraiement le gamay du beaujolais. Cécile n'a pas accroché. A voir en vieillissant car il est effectivement jeune
Tout seul. Il avait tourné. Bouteille à jeter
Encore une bouteille avec un bouchon qui casse et un goût très prononcé de champignon. Je n'ai pas trop aimé
Bouteille bien meilleure. Ce n'est pas mon vin préféré car il cogne le crane, mais très correcte. Dommage que deux bouteilles étaient mauvaises
Ne pas en racheter. Vraiment pas mon style de vin"
Domaine de la Désoucherie,2018,Cour - Cheverny,Soléa,,Blanc moelleux,Val de Loire et Centre,Romorantin,2020,2023,4/5,"10,9",Epicerie,08/07/2023,1,"10,9",,,
Domaine Le Mirabeau,2018,Vinsobres,,,Rouge,Vallée du Rhône,"Grenache Noir, Syrah, Cinsault",2020,2023,3/5,"15,5",Salon,23/03/2025,2,31,,,
Domaine Valéry Renaudat,2019,Reuilly,Les Lignis,,Rosé,Val de Loire et Centre,Pinot Noir,2020,2023,,11,Marché,21/11/2020,0,,06/01/2023,2,Sans plus. Cécile n'aime pas
Fournier Pere & Fils,2018,Sancerre,Les Belles Vignes,,Blanc,Val de Loire et Centre,Sauvignon Blanc,2020,2023,2/5,,Veepee,24/04/2020,0,,24/04/2020,4,Bon Sancerre. Rien de particulier mais fait parfaitement le job.
Philippe Tupinier,2018,Côtes d'Auxerre,,,Rosé,Bourgogne,Pinot Noir,2020,2023,,10,Marché,16/11/2019,0,,05/01/2020,"3,5","Avec Cécile. Assez original, je l'avais bien aimé sur le marché, mais cette fois ci j'ai trouvé qu'il avait une pointe d'amertume qui n'était pas exceptionnelle"
Philippe Tupinier,2018,Chablis,,,Blanc,Bourgogne,Chardonnay,2020,2023,4/5,"14
14
14","Marché
Marché
Marché","16/11/2019
15/02/2020
21/11/2020",0,,"22/12/2019
13/03/2020
13/03/2020
11/05/2021
18/05/2021","4
4
4
4
4","Bu avec les parents de Cécile. Bon chablis. Pas agressif.
Toujours bon
Toujours bon
Toujours bon
Toujours bon"
Philippe Tupinier,2018,Côtes d'Auxerre,Cuvée Spéciale,,Rouge,Bourgogne,Pinot Noir,2020,2023,5/5,15,Producteur,20/11/2022,0,,04/12/2022,"3,5",Très correct
